lambda,intensity
683.43,97.46875
683.642,97.42113
683.854,97.16875
684.065,97.74018
684.277,97.66399
684.489,97.60208
684.7,97.72113
684.912,97.70685
685.123,97.55923
685.335,97.54018
685.547,97.43542
685.758,97.16875
685.97,97.09256
686.181,97.02589
686.393,97.22113
686.604,97.36875
686.815,97.44018
687.027,97.56399
687.238,97.55446
687.45,97.2497
687.661,97.46875
687.872,97.40685
688.084,97.34018
688.295,97.43065
688.506,97.21637
688.718,97.15923
688.929,97.53065
689.14,97.67351
689.351,97.76399
689.563,97.90208
689.774,97.79256
689.985,97.7497
690.196,97.91637
690.407,97.87351
690.618,97.64494
690.829,97.40685
691.041,97.28304
691.252,96.97351
691.463,97.21161
691.674,97.16875
691.885,97.25446
692.096,96.94018
692.307,96.96875
692.518,97.20208
692.729,97.03542
692.94,96.75923
693.151,96.83065
693.361,96.67351
693.572,96.45446
693.783,96.1878
693.994,96.04494
694.205,95.97351
694.416,95.94494
694.627,95.9878
694.837,95.76875
695.048,96.14018
695.259,96.01161
695.47,96.00208
695.68,96.30685
695.891,96.2878
696.102,96.41637
696.312,96.58304
696.523,96.86875
696.734,96.63065
696.944,96.64494
697.155,96.60208
697.366,96.71161
